BookName,Title,Author,ImageBook,CategoryId,ISBN,PublishedDate
Ngôn ngữ lập trình Java cơ bản,Ngôn ngữ lập trình Java cơ bản,Hoang Tran,http://books.google.com/books/content?id=igvwDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,,
Lập trình Hướng đối tượng với Java,Lập trình Hướng đối tượng với Java,Hoàng Trần,http://books.google.com/books/content?id=HAMBEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,,
Lập trình Socket cho giao thức TCP với Java.,Lập trình Socket cho giao thức TCP với Java.,Hoang Tran,http://books.google.com/books/content?id=YpfwDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,,
Lập trình xử lý cơ sở dữ liệu trong Java,Lập trình xử lý cơ sở dữ liệu trong Java,Hoang Tran,http://books.google.com/books/content?id=SfryDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,,
Phân tán đối tượng trong Java bằng RMI,Phân tán đối tượng trong Java bằng RMI,Hoang Tran,http://books.google.com/books/content?id=-qXyDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,,
Java Journeys: From Bytecode to Brilliance,Java Journeys: From Bytecode to Brilliance,Betty J. Baker,http://books.google.com/books/content?id=ftM7EQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,,2025-01-02
Lập trình ứng dụng cho giao thức UDP với Java,Lập trình ứng dụng cho giao thức UDP với Java,Hoang Tran,http://books.google.com/books/content?id=g03yDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,,
Các luồng vào ra trong Java,Các luồng vào ra trong Java,hoangtn,http://books.google.com/books/content?id=CTPwDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,,
Lập trình đa tuyến đoạn với Java,Lập trình đa tuyến đoạn với Java,hoangtn,http://books.google.com/books/content?id=1jPwDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,,
Java 6 Programming Black Book (New Edition) w/CD,Java 6 Programming Black Book (New Edition) w/CD,Kogent Solution Inc.,http://books.google.com/books/content?id=SSyuJa04uv8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Java (Computer program language),817722736X,2007-06-28
Effective Java,Effective Java,Joshua Bloch,http://books.google.com/books/content?id=ka2VUBqHiWkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9780132778046,2008-05-08
Java For Dummies,Java For Dummies,Barry A. Burd,http://books.google.com/books/content?id=x8BvqSRbR3cC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9781118051061,2011-03-03
Killer Game Programming in Java,Killer Game Programming in Java,Andrew Davison,http://books.google.com/books/content?id=dOz-UK8Fl_UC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,9780596552909,2005-05-20
